Site,Sex,SVL,TL,HLL,Mass,Ticks,Max_25cm,Max_2m,Yes1N0,Residuals_Mass_OLS,Log_SVL,Log _Mass
R,M,46,69,35,3.25,0,2.07,1.83,0,-0.010904813,1.662757832,0.511883361
R,M,66,93,44,10,0,2.849,1.934,0,-0.68025639,1.819543936,1
R,M,68,99,46,10.75,0,2.687,1.886,0,-0.672191547,1.832508913,1.031408464
R,M,55,80,40,5.75,0,2.655,1.839,0,-0.849613022,1.740362689,0.759667845
R,M,65,49,44,9,0,2.652,1.985,0,-1.309288811,1.812913357,0.954242509
R,M,63,96,46,9.5,0,2.668,1.783,0,-0.067353653,1.799340549,0.977723605
R,M,58,90,39,7.25,0,2.719,1.89,0,-0.462515759,1.763427994,0.860338007
R,M,64,100,44,11.25,0,2.593,2.08,0,1.311678768,1.806179974,1.051152522
R,M,62,66,42,8.75,0,2.65,1.634,0,-0.446386074,1.792391689,0.942008053
C,M,64,89,42,,0,2.621,1.813,0,,1.806179974,
C,M,71,74,50,11.75,0,2.73,2.634,0,-0.785094284,1.851258349,1.070037867
C,M,67,100,47,12,0,2.621,1.372,0,0.948776032,1.826074803,1.079181246
C,M,64,94,44,8.5,0,2.071,1.595,0,-1.438321232,1.806179974,0.929418926
C,M,51,73,36,5.25,0,2.059,1.252,0,0.134257293,1.707570176,0.720159303
C,M,49,75,35,3.5,0,2.038,1.562,0,-0.873807549,1.69019608,0.544068044
C,M,52,75,35,4.5,0,3.2,1.5,0,-0.986710286,1.716003344,0.653212514
C,M,65,72,43,7,0,2.681,2.04,0,-3.309288811,1.812913357,0.84509804
C,M,43,50,32,3.25,0,2.008,0.737,0,1.101997924,1.633468456,0.511883361
C,M,63,91,36,10.75,0,2.047,1.671,0,1.182646347,1.799340549,1.031408464
C,M,66,95,32,12,0,1.994,1.548,0,1.31974361,1.819543936,1.079181246
NB,M,60,91,43,9,0,2.664,1.676,0,0.545549083,1.77815125,0.954242509
NB,M,54,34,34,7,0,2.675,2.015,0,0.771354556,1.73239376,0.84509804
NB,M,65,31,44,11,0,2.761,2.485,0,0.690711189,1.812913357,1.041392685
NB,M,71,100,46,14.25,0,2.772,1.618,0,1.714905716,1.851258349,1.153814864
NB,M,60,61,44,10.5,0,3.133,2.084,0,2.045549083,1.77815125,1.021189299
NB,M,63,94,49,9.25,0,4.003,2.331,0,-0.317353653,1.799340549,0.966141733
NB,M,62,90,44,8.75,0,3.201,2.159,0,-0.446386074,1.792391689,0.942008053
NB,M,62,94,45,9.75,0,2.901,2.042,0,0.553613926,1.792391689,0.989004616
NB,M,67,95,47,11.25,0,3.548,2.378,0,0.198776032,1.826074803,1.051152522
NB,M,66,101,46,11.25,0,3.02,2.672,0,0.56974361,1.819543936,1.051152522
C,M,70,56,46,11.25,0,3.18,2.143,0,-0.914126705,1.84509804,1.051152522
C,M,64,95,47,9.5,1,2.698,1.773,1,-0.438321232,1.806179974,0.977723605
C,M,51,76,35,4.5,1,1.595,0.7784,1,-0.615742707,1.707570176,0.653212514
R,M,66,101,45,11,1,2.647,1.946,1,0.31974361,1.819543936,1.041392685
R,M,71,95,49,12.25,1,3.067,2.058,1,-0.285094284,1.851258349,1.088136089
R,M,68,96,48,11.5,2,2.667,1.559,1,0.077808453,1.832508913,1.06069784
R,M,70,104,47,12.25,2,2.749,1.635,1,0.085873295,1.84509804,1.088136089
R,M,51,79,38,5,2,2.392,1.141,1,-0.115742707,1.707570176,0.698970004
R,M,68,71,46,10.75,2,2.19,1.048,1,-0.672191547,1.832508913,1.031408464
R,M,62,91,45,8,2,1.986,0.9217,1,-1.196386074,1.792391689,0.903089987
C,M,66,93,44,11,2,2.658,1.568,1,0.31974361,1.819543936,1.041392685
C,M,74,74,51,14,2,2.65,2.179,1,0.35200298,1.86923172,1.146128036
R,M,75,107,46,14,2,2.07,1.502,1,-0.018964599,1.875061263,1.146128036
R,M,63,91,45,10.25,2,2.57,1.469,1,0.682646347,1.799340549,1.010723865
R,M,67,96,45,11.5,3,2.709,1.651,1,0.448776032,1.826074803,1.06069784
R,M,67,96,45,11.5,3,2.845,2.13,1,0.448776032,1.826074803,1.06069784
NB,M,69,95,44,9.75,3,2.483,1.887,1,-2.043159126,1.838849091,0.989004616
C,M,61,94,45,8.25,3,3.055,2.238,1,-0.575418495,1.785329835,0.916453949
R,M,61,92,42,8.25,4,3.28,2.246,1,-0.575418495,1.785329835,0.916453949
R,M,67,94,44,10.75,6,2.687,2.145,1,-0.301223968,1.826074803,1.031408464
R,M,68,91,45,12.25,7,3.197,2.561,1,0.827808453,1.832508913,1.088136089
